Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Cooper Flagg 2025 Topps Chrome #251 Base","Raw","-20.56","-$6.11","$29.75","$23.63 (03/26/2026)","$25.18","$1.99","$300.00","-47.27","2020","$50856.75"
"Kon Knueppel 2025 Topps Chrome #254 Base","Raw","41.28","$2.92","$7.07","$9.99 (03/27/2026)","$11.18","$0.99","$24.99","3.86","1774","$19840.64"
"Kon Knueppel 2025 Topps Chrome #254 X-Fractor","Raw","100.08","$74.22","$74.15","$148.37 (03/26/2026)","$134.23","$43.99","$203.50","-29.48","696","$93422.38"
"Cooper Flagg 2025 Topps Finest #1 Common","Raw","-78.36","-$69.15","$88.25","$19.09 (03/26/2026)","$30.12","$8.00","$119.99","0.00","652","$19637.78"
"Kon Knueppel 2025 Topps Chrome #254 Refractor","Raw","67.29","$48.31","$71.79","$120.09 (03/26/2026)","$120.06","$29.99","$202.50","-3.67","578","$69395.75"
"Kon Knueppel 2025 Topps Chrome #BD-23 Ball of Duty","Raw","73.85","$2.36","$3.19","$5.55 (03/26/2026)","$5.09","$0.99","$24.95","73.99","562","$2859.41"
"Cooper Flagg 2025 Topps Chrome #SY-11 Serenity","Raw","7.12","$0.92","$12.92","$13.84 (03/26/2026)","$13.44","$0.99","$28.99","-31.53","545","$7326.08"
"Kon Knueppel 2025 Topps Chrome #GT-19 Go Time","Raw","-13.62","-$0.66","$4.88","$4.21 (03/26/2026)","$4.79","$0.99","$24.95","40.72","508","$2434.14"
"Cooper Flagg 2025 Topps Chrome #BD-21 Ball of Duty","Raw","-22.67","-$2.93","$12.93","$10.00 (03/26/2026)","$11.21","$0.99","$23.50","-34.59","505","$5658.68"
"Kon Knueppel 2025 Topps Chrome #AC-14 Activators","Raw","35.63","$1.38","$3.86","$5.24 (03/26/2026)","$4.60","$0.99","$19.66","59.68","495","$2276.67"
"Cooper Flagg 2025 Topps Chrome #GT-16 Go Time","Raw","21.49","$2.44","$11.34","$13.78 (03/26/2026)","$10.43","$1.00","$22.50","-31.10","494","$5151.38"
"Cooper Flagg 2025 Topps Chrome #AC-11 Activators","Raw","-1.17","-$0.11","$9.19","$9.08 (03/26/2026)","$8.61","$0.99","$26.00","-35.32","467","$4019.21"
"Cooper Flagg 2025 Topps Chrome #251 Refractor","Raw","-2.32","-$5.83","$251.32","$245.50 (03/26/2026)","$243.25","$52.00","$375.00","-34.75","460","$111894.35"
"VJ Edgecombe 2025 Topps Chrome #253 Base","Raw","-0.19","-$0.00","$2.14","$2.14 (03/26/2026)","$2.83","$0.99","$23.26","-19.93","442","$1250.29"
"VJ Edgecombe 2025 Topps Chrome #253 X-Fractor","Raw","5.34","$2.06","$38.65","$40.72 (03/26/2026)","$35.59","$10.80","$56.00","-38.26","439","$15625.63"
"Cooper Flagg 2025 Topps Chrome #251 X-Fractor","Raw","-16.63","-$52.94","$318.27","$265.33 (03/26/2026)","$296.01","$129.99","$450.00","-61.88","433","$128171.98"
"Kon Knueppel 2025 Topps Finest #4 Common","Raw","-64.84","-$16.42","$25.33","$8.91 (03/26/2026)","$20.69","$0.99","$59.99","0.00","410","$8484.12"
"Dylan Harper 2025 Topps Chrome #252 X-Fractor","Raw","10.00","$1.82","$18.18","$20.00 (03/27/2026)","$22.75","$7.00","$45.00","-38.15","394","$8963.87"
"Dylan Harper 2025 Topps Chrome #252 Base","Raw","-27.19","-$0.77","$2.85","$2.08 (03/26/2026)","$2.43","$0.99","$24.00","6.65","385","$934.16"
"Dylan Harper 2025 Topps Chrome #252 Refractor","Raw","95.03","$14.17","$14.91","$29.09 (03/26/2026)","$18.69","$0.99","$47.75","3.06","371","$6935.23"
"Bam Adebayo 2017 Donruss #187 Base","Raw","-50.25","-$1.00","$1.99","$0.99 (03/25/2026)","$5.16","$0.99","$60.00","2891.67","359","$1852.07"
"Ace Bailey 2025 Topps Chrome #255 Refractor","Raw","91.17","$5.82","$6.39","$12.21 (03/26/2026)","$10.06","$0.99","$25.00","1.26","322","$3239.10"
"Victor Wembanyama 2023 Prizm #136 Base","Raw","34.03","$10.70","$31.46","$42.16 (03/26/2026)","$34.81","$12.10","$65.00","20.00","318","$11070.39"
"Victor Wembanyama 2025 Topps Chrome #221 X-Fractor","Raw","19.60","$3.82","$19.47","$23.29 (03/26/2026)","$21.89","$0.99","$45.00","-54.38","302","$6611.02"
"Victor Wembanyama 2025 Topps Chrome #221 Refractor","Raw","36.06","$2.99","$8.29","$11.27 (03/26/2026)","$9.84","$1.00","$24.49","-15.88","286","$2815.46"
"VJ Edgecombe 2025 Topps Chrome #253 Refractor","Raw","22.54","$4.31","$19.14","$23.45 (03/26/2026)","$23.31","$0.99","$42.05","-17.25","283","$6596.71"
"Ace Bailey 2025 Topps Chrome #255 X-Fractor","Raw","59.86","$5.99","$10.00","$15.99 (03/26/2026)","$11.57","$2.00","$20.50","-44.51","278","$3216.92"
"LeBron James 2025 Topps Chrome #127 X-Fractor","Raw","46.44","$6.70","$14.41","$21.11 (03/26/2026)","$17.70","$0.99","$36.00","-54.99","266","$4707.20"
"Bam Adebayo 2017 Optic #187 Base","Raw","-13.19","-$0.19","$1.44","$1.25 (03/25/2026)","$6.37","$0.99","$27.00","4333.33","266","$1693.54"
"Victor Wembanyama 2023 Topps Chrome #1 Base","Raw","6.65","$1.15","$17.35","$18.50 (03/26/2026)","$17.75","$2.83","$32.17","3.67","254","$4507.54"
"Ace Bailey 2025 Topps Chrome #255 Base","Raw","60.59","$0.87","$1.44","$2.31 (03/26/2026)","$1.97","$0.99","$19.19","11.66","249","$490.62"
"Bam Adebayo 2017 Optic #187 Red & Yellow","Raw","481.25","$4.81","$1.00","$5.81 (03/24/2026)","$7.28","$0.99","$29.99","3400.00","245","$1782.50"
"Kon Knueppel 2025 Topps Chrome #254 Red White & Blue Refractor","Raw","107.35","$52.54","$48.95","$101.49 (03/26/2026)","$88.49","$33.99","$152.50","-8.27","244","$21592.34"
"Kon Knueppel 2025 Topps Chrome #D-4 Destiny","Raw","23.82","$2.24","$9.39","$11.62 (03/26/2026)","$8.92","$0.99","$24.60","18.91","239","$2131.60"
"Kon Knueppel 2025 Topps Chrome #SF-24 Sleek Finishers","Raw","106.34","$3.46","$3.26","$6.72 (03/26/2026)","$5.86","$1.25","$22.50","26.88","236","$1383.06"
"Victor Wembanyama 2023 Donruss #220 Base","Raw","63.36","$4.54","$7.16","$11.70 (03/26/2026)","$7.74","$2.80","$23.00","-6.72","236","$1827.62"
