Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Cooper Flagg 2025 Topps Chrome #251 Base","Raw","26.43","$4.94","$18.69","$23.63 (03/26/2026)","$24.96","$1.99","$300.00","9.59","5851","$146020.28"
"Cooper Flagg 2025 Topps Chrome #251 X-Fractor","Raw","149.29","$158.90","$106.43","$265.33 (03/26/2026)","$267.67","$65.00","$467.00","-12.49","1569","$419967.74"
"Cooper Flagg 2025 Topps Chrome #GT-16 Go Time","Raw","74.16","$5.87","$7.91","$13.78 (03/26/2026)","$9.50","$0.99","$25.00","18.15","1211","$11509.03"
"Cooper Flagg 2025 Topps Chrome #AC-11 Activators","Raw","55.11","$3.23","$5.86","$9.08 (03/26/2026)","$8.19","$0.99","$41.00","14.33","1189","$9737.54"
"Kon Knueppel 2025 Topps Chrome #254 Refractor","Raw","342.80","$92.97","$27.12","$120.09 (03/26/2026)","$81.61","$10.50","$202.50","83.20","1178","$96137.88"
"Cooper Flagg 2025 Topps Chrome #251 Refractor","Raw","36.86","$66.12","$179.38","$245.50 (03/26/2026)","$229.84","$52.00","$390.00","-0.51","1165","$267764.56"
"VJ Edgecombe 2025 Topps Chrome #253 Base","Raw","-11.00","-$0.26","$2.40","$2.14 (03/26/2026)","$2.72","$0.99","$23.26","14.12","994","$2707.28"
"Kon Knueppel 2025 Topps Chrome #BD-23 Ball of Duty","Raw","95.87","$2.72","$2.84","$5.55 (03/26/2026)","$4.40","$0.99","$24.95","164.18","885","$3889.71"
"LeBron James 2025 Topps Chrome #127 X-Fractor","Raw","335.35","$16.26","$4.85","$21.11 (03/26/2026)","$12.70","$0.99","$36.00","114.25","857","$10885.14"
"Ace Bailey 2025 Topps Chrome #255 X-Fractor","Raw","433.46","$12.99","$3.00","$15.99 (03/26/2026)","$9.40","$0.99","$24.50","98.72","779","$7324.07"
"Dylan Harper 2025 Topps Chrome #252 Base","Raw","38.61","$0.58","$1.50","$2.08 (03/26/2026)","$2.44","$0.73","$24.50","7.49","746","$1820.72"
"Dylan Harper 2025 Topps Chrome #252 Refractor","Raw","171.72","$18.38","$10.71","$29.09 (03/26/2026)","$15.96","$0.99","$47.75","33.88","731","$11667.44"
"Stephen Curry 2025 Topps Chrome #201 X-Fractor","Raw","397.71","$12.39","$3.11","$15.50 (03/26/2026)","$11.06","$0.99","$31.00","122.09","724","$8007.22"
"Ace Bailey 2025 Topps Chrome #255 Refractor","Raw","82.73","$5.53","$6.68","$12.21 (03/26/2026)","$8.50","$0.99","$25.00","88.24","640","$5440.78"
"Cooper Flagg 2025 Topps Chrome #D-1 Destiny","Raw","-2.13","-$0.24","$11.24","$11.00 (03/26/2026)","$13.27","$1.45","$27.00","-5.07","636","$8438.00"
"Cedric Coward 2025 Topps Chrome #261 X-Fractor","Raw","80.26","$3.82","$4.76","$8.58 (03/26/2026)","$8.09","$0.99","$23.00","81.74","627","$5075.19"
"VJ Edgecombe 2025 Topps Chrome #253 Refractor","Raw","-8.29","-$2.12","$25.57","$23.45 (03/26/2026)","$23.58","$0.99","$48.00","29.67","625","$14738.38"
"Cooper Flagg 2025 Topps Chrome #SF-21 Sleek Finishers","Raw","73.43","$6.18","$8.41","$14.59 (03/26/2026)","$11.06","$1.25","$25.50","-1.34","587","$6489.51"
"Victor Wembanyama 2023 Prizm #136 Base","Raw","41.23","$12.31","$29.86","$42.16 (03/26/2026)","$32.61","$12.10","$65.00","10.84","583","$19010.21"
"Cooper Flagg 2025 Topps Chrome #YQ-1 Youthquake","Raw","46.44","$3.58","$7.71","$11.30 (03/26/2026)","$10.72","$1.25","$25.16","-0.19","527","$5650.57"
