Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Tyrese Maxey 2020 Optic #171 Purple","Raw","0.00","$0.00","$9.00","$9.00 (05/08/2026)","$9.00","$9.00","$9.00","-50.00","1","$9.00"
"Franz Wagner 2021 Donruss #235 Base","Raw","0.00","$0.00","$0.99","$0.99 (05/11/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Collin Sexton 2018 Optic #180 Shock","Raw","0.00","$0.00","$1.25","$1.25 (05/12/2026)","$1.25","$1.25","$1.25","0.00","1","$1.25"
"Devin Booker 2015 Donruss #27 The Rookies","Raw","0.00","$0.00","$7.99","$7.99 (05/09/2026)","$7.99","$7.99","$7.99","-80.00","1","$7.99"
"Mikal Bridges 2018 Optic #200 Blue Velocity","Raw","0.00","$0.00","$0.99","$0.99 (05/10/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Luka Doncic 2018 Chronicles #255 Marquee","Raw","0.00","$0.00","$20.00","$20.00 (05/11/2026)","$20.00","$20.00","$20.00","0.00","1","$20.00"
"Joel Embiid 2014 Donruss #203 Base","Raw","0.00","$0.00","$6.50","$6.50 (05/11/2026)","$6.50","$6.50","$6.50","-75.00","1","$6.50"
"LaMelo Ball 2020 Donruss #202 Green & Yellow Laser","Raw","0.00","$0.00","$9.00","$9.00 (05/10/2026)","$9.00","$9.00","$9.00","0.00","1","$9.00"
"Scottie Barnes 2021 Donruss #236 Orange Laser","Raw","0.00","$0.00","$1.50","$1.50 (05/08/2026)","$1.50","$1.50","$1.50","0.00","1","$1.50"
"Jayson Tatum 2017 Optic #3 Rookie Kings - Holo","Raw","0.00","$0.00","$8.27","$8.27 (05/09/2026)","$8.27","$8.27","$8.27","0.00","1","$8.27"
"Jamal Murray 2016 Prestige #157 Base","Raw","0.00","$0.00","$6.50","$6.50 (05/11/2026)","$6.50","$6.50","$6.50","0.00","1","$6.50"
"Jarrett Culver 2019 Optic #160 Pink Velocity","Raw","0.00","$0.00","$1.75","$1.75 (05/10/2026)","$1.75","$1.75","$1.75","0.00","1","$1.75"
"Giannis Antetokounmpo 2019 Optic #5 My House! - Purple","Raw","0.00","$0.00","$1.50","$1.50 (05/12/2026)","$1.50","$1.50","$1.50","0.00","1","$1.50"
"Kevin Durant 2017 Optic #47 Holo","Raw","0.00","$0.00","$1.25","$1.25 (05/10/2026)","$1.25","$1.25","$1.25","0.00","1","$1.25"
"Jonathan Isaac 2017 Optic #195 Base","Raw","0.00","$0.00","$1.19","$1.19 (05/09/2026)","$1.19","$1.19","$1.19","0.00","1","$1.19"
"Coby White 2019 Crown Royale #4 Kaboom!","Raw","0.00","$0.00","$451.66","$451.66 (05/12/2026)","$451.66","$451.66","$451.66","0.00","1","$451.66"
"Ja Morant 2019 Chronicles #550 Hometown Heroes Optic","Raw","0.00","$0.00","$10.00","$10.00 (05/13/2026)","$10.00","$10.00","$10.00","0.00","1","$10.00"
"Ayo Dosunmu 2021 Optic #171 Target Purple Pulsar","Raw","0.00","$0.00","$1.50","$1.50 (05/10/2026)","$1.50","$1.50","$1.50","0.00","1","$1.50"
"Jalen Green 2021 Optic #159 Blue Velocity","Raw","0.00","$0.00","$1.75","$1.75 (05/09/2026)","$1.75","$1.75","$1.75","0.00","1","$1.75"
"LeBron James 2020 Optic #13 Purple","Raw","0.00","$0.00","$0.99","$0.99 (05/09/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Ayo Dosunmu 2021 Contenders #133 Rookie Ticket Auto","Raw","0.00","$0.00","$15.50","$15.50 (05/08/2026)","$15.50","$15.50","$15.50","0.00","1","$15.50"
"Jaden Ivey 2022 Optic #241 Hyper Pink","Raw","0.00","$0.00","$0.99","$0.99 (05/10/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Jaden Ivey 2022 Donruss #205 Holo Green Laser","Raw","0.00","$0.00","$0.99","$0.99 (05/12/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Jeremy Sochan 2022 Donruss #209 Base","Raw","0.00","$0.00","$0.99","$0.99 (05/09/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Keldon Johnson 2019 Donruss #227 Base","Raw","0.00","$0.00","$1.85","$1.85 (05/08/2026)","$1.85","$1.85","$1.85","0.00","1","$1.85"
"Chet Holmgren 2022 Contenders Optic #4 Blue","Raw","0.00","$0.00","$35.00","$35.00 (05/13/2026)","$35.00","$35.00","$35.00","0.00","1","$35.00"
"Chet Holmgren 2022 Crown Royale #85 Base","Raw","0.00","$0.00","$7.99","$7.99 (05/10/2026)","$7.99","$7.99","$7.99","0.00","1","$7.99"
"Ausar Thompson 2023 Optic #5 The Rookies - Pink Velocity","Raw","0.00","$0.00","$13.00","$13.00 (05/09/2026)","$13.00","$13.00","$13.00","0.00","1","$13.00"
"Gradey Dick 2023 Optic #9 Splash! - Holo","Raw","0.00","$0.00","$1.00","$1.00 (05/11/2026)","$1.00","$1.00","$1.00","0.00","1","$1.00"
"Jeremy Sochan 2022 Optic #236 White Sparkle","Raw","0.00","$0.00","$12.00","$12.00 (05/11/2026)","$12.00","$12.00","$12.00","0.00","1","$12.00"
"Paolo Banchero 2022 Optic #221 Rated Rookie Signatures - Purple","Raw","0.00","$0.00","$180.50","$180.50 (05/09/2026)","$180.50","$180.50","$180.50","0.00","1","$180.50"
"Paolo Banchero 2022 Optic #221 Rated Rookie Signatures - Fast Break","Raw","0.00","$0.00","$95.00","$95.00 (05/11/2026)","$95.00","$95.00","$95.00","0.00","1","$95.00"
"Bilal Coulibaly 2023 Contenders Optic #15 Rookie Ticket - Silver","Raw","0.00","$0.00","$0.99","$0.99 (05/10/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"LeBron James 2022 Optic #6 Lights Out - Red","Raw","0.00","$0.00","$49.99","$49.99 (05/10/2026)","$49.99","$49.99","$49.99","0.00","1","$49.99"
"Brandon Clarke 2019 Donruss #220 Orange Laser","Raw","0.00","$0.00","$1.50","$1.50 (05/12/2026)","$1.50","$1.50","$1.50","0.00","1","$1.50"
"LeBron James 2022 Optic #15 Splash! - Holo","Raw","0.00","$0.00","$0.99","$0.99 (05/10/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Keyonte George 2023 Optic #4 My House - Purple","Raw","0.00","$0.00","$0.99","$0.99 (05/12/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
