Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Victor Wembanyama 2023 Prizm #136 Base","PSA 10","97.54","$78.88","$80.87","$159.75 (02/23/2026)","$128.32","$59.96","$366.00","44.82","1622","$208138.94"
"Victor Wembanyama 2023 Prizm #136 Base","Raw","60.42","$11.88","$19.67","$31.55 (02/23/2026)","$25.79","$2.24","$57.76","38.40","1492","$38478.78"
"Victor Wembanyama 2023 Select #87 Concourse Blue Retail","Raw","134.99","$4.08","$3.02","$7.10 (02/23/2026)","$6.10","$0.99","$24.21","53.43","1140","$6958.91"
"Victor Wembanyama 2023 Optic #225 Base","Raw","109.10","$5.03","$4.61","$9.64 (02/23/2026)","$7.99","$0.99","$33.00","50.34","1090","$8713.65"
"Anthony Edwards 2020 Prizm #258 Base","Raw","74.36","$5.39","$7.25","$12.63 (02/23/2026)","$9.24","$0.99","$23.99","-32.58","1008","$9311.27"
"Victor Wembanyama 2023 Select #87 Concourse Blue Retail","PSA 10","107.88","$34.51","$31.99","$66.50 (02/23/2026)","$51.27","$19.25","$274.50","45.48","934","$47890.32"
"Stephon Castle 2024 Prizm #234 Silver","Raw","-23.70","-$9.01","$38.00","$28.99 (02/23/2026)","$34.10","$1.00","$69.95","-28.06","877","$29907.94"
"LeBron James 2020 Prizm #1 Base","Raw","-6.79","-$0.43","$6.28","$5.85 (02/23/2026)","$6.58","$0.99","$24.74","16.45","814","$5356.58"
"Victor Wembanyama 2023 Prizm #136 Base","PSA 9","147.93","$26.85","$18.15","$45.00 (02/24/2026)","$34.73","$11.50","$87.22","32.42","772","$26811.85"
"Cade Cunningham 2021 Prizm #282 Base","Raw","-56.23","-$8.43","$15.00","$6.57 (02/23/2026)","$4.16","$0.99","$24.99","25.72","743","$3090.66"
"LeBron James 2024 Prizm #130 Silver","Raw","-26.42","-$6.64","$25.14","$18.50 (02/23/2026)","$20.17","$0.99","$47.91","-2.78","734","$14802.44"
"Victor Wembanyama 2023 Prizm #136 Silver","PSA 10","91.72","$747.50","$815.00","$1562.50 (02/23/2026)","$1376.35","$654.00","$1952.00","102.02","701","$964823.42"
"Victor Wembanyama 2023 Mosaic #257 NBA Debut","Raw","121.97","$1.94","$1.59","$3.53 (02/23/2026)","$3.94","$0.99","$24.57","34.10","641","$2526.53"
"Stephon Castle 2024 Optic #254 Holo","Raw","-16.36","-$3.48","$21.27","$17.79 (02/23/2026)","$10.84","$0.99","$24.99","2454.17","613","$6643.05"
"LeBron James 2024 Prizm #130 Pink Ice","Raw","-30.60","-$4.64","$15.17","$10.53 (02/22/2026)","$12.18","$0.99","$24.99","8.33","611","$7442.31"
"Stephon Castle 2024 Prizm #234 Base","Raw","-8.16","-$0.16","$1.99","$1.83 (02/23/2026)","$2.23","$0.99","$23.29","-52.81","605","$1350.63"
"Victor Wembanyama 2023 Mosaic #238 Base","Raw","117.64","$2.65","$2.25","$4.90 (02/23/2026)","$4.25","$0.99","$24.99","40.80","597","$2539.23"
"Victor Wembanyama 2023 Mosaic #282 City Edition","Raw","-32.51","-$1.38","$4.25","$2.87 (02/23/2026)","$3.63","$0.99","$23.50","43.45","591","$2144.14"
"Stephon Castle 2024 Prizm #234 Pink Ice","Raw","-48.10","-$5.61","$11.66","$6.05 (02/23/2026)","$9.12","$0.99","$24.99","-34.57","566","$5159.57"
"LeBron James 2024 Prizm #130 Base","Raw","11.63","$0.17","$1.49","$1.66 (02/23/2026)","$2.92","$0.99","$24.50","-22.54","550","$1605.77"
"Anthony Edwards 2020 Optic #151 Base","Raw","33.44","$1.00","$2.99","$3.99 (02/23/2026)","$5.01","$0.99","$24.00","-28.38","540","$2703.87"
"Shai Gilgeous-Alexander 2018 Prizm #184 Base","Raw","77.52","$8.14","$10.50","$18.64 (02/23/2026)","$24.73","$1.00","$50.00","-50.38","521","$12886.47"
"Luka Doncic 2018 Prizm #280 Base","PSA 10","15.40","$28.75","$186.75","$215.50 (02/23/2026)","$201.27","$71.00","$317.20","-3.68","497","$100032.13"
"Victor Wembanyama 2024 Prizm #172 Silver","Raw","-15.00","-$1.50","$10.00","$8.50 (02/23/2026)","$4.02","$0.99","$20.50","-22.30","474","$1906.46"
"Victor Wembanyama 2024 Prizm #172 Pink Ice","Raw","46.32","$1.38","$2.99","$4.38 (02/22/2026)","$3.69","$0.99","$25.00","-7.63","460","$1696.45"
"Stephon Castle 2024 Optic #254 Base","Raw","-35.07","-$0.88","$2.50","$1.62 (02/23/2026)","$2.07","$0.90","$19.99","918.60","438","$906.36"
"Cade Cunningham 2021 Optic #161 Base","Raw","-24.33","-$0.96","$3.95","$2.99 (02/23/2026)","$2.78","$0.71","$24.00","37.14","432","$1199.52"
"Victor Wembanyama 2023 Prizm #3 Instant Impact","Raw","37.14","$1.08","$2.92","$4.00 (02/23/2026)","$5.92","$0.99","$33.00","43.10","425","$2514.03"
"Victor Wembanyama 2023 Prizm #1 Deep Space","Raw","859.60","$8.51","$0.99","$9.50 (02/23/2026)","$5.55","$0.99","$24.00","28.13","410","$2274.94"
"Victor Wembanyama 2024 Optic #19 My House - Purple","Raw","20.73","$0.40","$1.91","$2.31 (02/23/2026)","$3.02","$0.99","$18.50","4333.33","399","$1206.65"
"Victor Wembanyama 2023 Prizm #136 Pink Ice","PSA 10","38.05","$113.00","$297.00","$410.00 (02/23/2026)","$387.26","$224.50","$1049.20","8.11","360","$139413.56"
"Victor Wembanyama 2023 Select #87 Concourse Blue Prizm","Raw","-56.60","-$8.49","$15.00","$6.51 (02/23/2026)","$10.50","$0.99","$25.00","18.31","349","$3663.75"
"Victor Wembanyama 2023 Prizm #12 Emergent","Raw","85.20","$2.73","$3.21","$5.95 (02/23/2026)","$3.98","$0.99","$23.54","44.73","343","$1364.42"
"Victor Wembanyama 2023 Optic #2 White Hot Rookies","Raw","160.42","$4.14","$2.58","$6.73 (02/23/2026)","$5.35","$0.99","$20.85","35.71","342","$1828.55"
"LeBron James 2024 Optic #3 My House - Purple","Raw","-73.60","-$2.76","$3.75","$0.99 (02/22/2026)","$2.90","$0.99","$16.22","4125.00","338","$979.61"
"Victor Wembanyama 2023 Optic #6 Splash!","Raw","100.00","$3.00","$3.00","$6.00 (02/23/2026)","$5.33","$0.99","$26.00","49.56","338","$1803.02"
"Victor Wembanyama 2023 Optic #225 Base","PSA 10","62.11","$27.95","$45.00","$72.95 (02/23/2026)","$66.93","$25.00","$116.00","60.77","336","$22487.64"
"Stephon Castle 2024 Optic #16 My House - Purple","Raw","-70.38","-$5.94","$8.44","$2.50 (02/23/2026)","$2.62","$0.99","$18.50","4012.50","329","$861.54"
"Victor Wembanyama 2023 Optic #6 My House","Raw","-3.43","-$0.18","$5.25","$5.06 (02/23/2026)","$5.14","$0.99","$22.51","38.98","328","$1684.29"
"Victor Wembanyama 2023 Prizm #2 Global Reach","Raw","-40.17","-$2.35","$5.85","$3.50 (02/23/2026)","$3.74","$0.99","$24.99","23.83","317","$1186.17"
"Shai Gilgeous-Alexander 2018 Optic #162 Base","Raw","22.70","$4.99","$22.00","$26.99 (02/23/2026)","$22.17","$4.99","$51.00","-42.44","316","$7006.29"
"Shai Gilgeous-Alexander 2018 Prizm #184 Base","PSA 9","-2.09","-$0.77","$36.77","$36.00 (02/23/2026)","$41.87","$18.50","$94.33","-49.11","316","$13230.60"
