Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Dereck Lively II 2023 Spectra #149 Base","Raw","11300.00","$141.25","$1.25","$142.50 (02/09/2026)","$16.02","$1.25","$142.50","-45.00","11","$176.23"
"Stephon Castle 2024 Obsidian #19 Mist","Raw","6465.66","$64.01","$0.99","$65.00 (03/01/2026)","$48.17","$0.99","$69.00","0.00","12","$577.99"
"Giannis Antetokounmpo 2020 Prizm #111 Fast Break","Raw","5883.61","$179.45","$3.05","$182.50 (02/27/2026)","$23.25","$1.99","$182.50","-9.09","10","$232.45"
"Kobe Bryant 2015 Donruss #8 Elite Dominator","Raw","4220.20","$41.78","$0.99","$42.77 (01/25/2026)","$28.54","$0.99","$45.00","27.27","14","$399.50"
"Scoot Henderson 2023 Court Kings #3 First Steps","Raw","4037.93","$292.75","$7.25","$300.00 (02/08/2026)","$23.97","$1.00","$300.00","-81.71","15","$359.61"
"LeBron James 2024 Prizm #130 Pink Ice","PSA 9","3435.35","$34.01","$0.99","$35.00 (03/05/2026)","$32.10","$0.99","$47.00","0.00","28","$898.88"
"Anthony Black 2023 Prizm #170 Blue","Raw","3286.00","$41.08","$1.25","$42.33 (01/26/2026)","$21.83","$1.25","$54.65","33.33","12","$261.96"
"Julius Erving 2012 Select #128 Silver","Raw","3135.61","$43.59","$1.39","$44.98 (03/06/2026)","$14.56","$0.99","$65.00","150.00","10","$145.62"
"Matas Buzelis 2024 Prizm #252 Green Wave","Raw","2930.30","$29.01","$0.99","$30.00 (03/02/2026)","$12.53","$0.99","$30.00","0.00","33","$413.62"
"Bub Carrington 2024 Select #81 Concourse Scope","Raw","2808.08","$27.80","$0.99","$28.79 (01/24/2026)","$4.19","$0.99","$28.79","0.00","11","$46.05"
"Dalton Knecht 2024 Mosaic #271 City Edition - Green","Raw","2780.00","$34.75","$1.25","$36.00 (01/17/2026)","$4.74","$0.99","$36.00","0.00","11","$52.10"
"Deni Avdija 2020 Select #69 Concourse Blue Prizm","Raw","2728.28","$27.01","$0.99","$28.00 (01/17/2026)","$13.22","$0.99","$29.99","600.00","14","$185.12"
"Anthony Edwards 2020 Recon #3 Scouting Reports","Raw","2425.25","$24.01","$0.99","$25.00 (02/25/2026)","$20.81","$0.99","$41.50","-65.91","15","$312.09"
"Keyonte George 2023 Optic #223 Premium Box Set","Raw","2425.25","$24.01","$0.99","$25.00 (01/30/2026)","$9.60","$0.99","$25.00","87.50","15","$143.94"
"Anthony Edwards 2024 Optic #14 Elite Dominators - Blue","Raw","2172.73","$21.51","$0.99","$22.50 (02/04/2026)","$16.04","$0.99","$34.00","0.00","16","$256.59"
"Amen Thompson 2023 Optic #2 The Rookies","Raw","2127.00","$21.27","$1.00","$22.27 (02/13/2026)","$2.44","$0.99","$22.27","19.05","25","$61.11"
"Stephon Castle 2024 Optic #6 White Hot Rookies - Green Shock","Raw","1970.71","$19.51","$0.99","$20.50 (02/24/2026)","$16.69","$0.99","$44.99","0.00","12","$200.32"
"Jared McCain 2024 Select #283 Courtside Silver","Raw","1919.19","$19.00","$0.99","$19.99 (02/15/2026)","$40.61","$0.99","$90.00","0.00","13","$527.89"
"Caitlin Clark 2023 Bowman U Now #64 Base (Print Run: 15,229)","Raw","1848.00","$18.48","$1.00","$19.48 (03/05/2026)","$7.18","$0.99","$22.50","-29.37","101","$725.58"
"Kon Knueppel 2025 Topps Chrome #SF-24 Sleek Finishers - Refractor","Raw","1826.26","$18.08","$0.99","$19.07 (03/09/2026)","$9.42","$0.99","$24.00","0.00","80","$753.67"
"Trae Young 2018 Prizm #21 Freshman Phenoms - Green","Raw","1718.18","$17.01","$0.99","$18.00 (02/20/2026)","$4.12","$0.99","$18.00","100.00","12","$49.45"
"LeBron James 2019 Revolution #14 Base","Raw","1718.18","$17.01","$0.99","$18.00 (03/01/2026)","$3.66","$0.99","$20.00","-2.13","46","$168.33"
"Isaiah Collier 2024 Prizm Black #32 Red Power","Raw","1718.18","$17.01","$0.99","$18.00 (03/07/2026)","$6.35","$0.99","$18.00","0.00","11","$69.89"
"Cason Wallace 2023 Hoops #RI-WAL Rookie Ink","Raw","1696.97","$16.80","$0.99","$17.79 (12/24/2025)","$13.54","$0.99","$25.00","-39.29","17","$230.17"
