Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Drake Maye 2024 Donruss #379 Base","Raw","-17.74","-$0.94","$5.29","$4.35 (03/26/2026)","$6.48","$0.99","$24.99","15.57","3155","$20449.22"
"Drake Maye 2024 Prizm #329 Base","Raw","-31.44","-$3.05","$9.71","$6.66 (03/26/2026)","$12.62","$0.99","$30.00","22.17","3136","$39561.92"
"Drake Maye 2024 Optic #229 Base","Raw","-19.16","-$1.45","$7.57","$6.12 (03/26/2026)","$9.66","$0.99","$24.98","20.54","3016","$29137.09"
"Drake Maye 2024 Select #27 Concourse","Raw","93.80","$2.12","$2.27","$4.39 (03/26/2026)","$3.52","$0.99","$24.99","56.61","2714","$9542.37"
"Jaxson Dart 2025 Donruss #400 Base","Raw","7.23","$0.15","$2.14","$2.29 (03/27/2026)","$2.68","$0.99","$24.99","-9.33","1798","$4811.46"
"Drake Maye 2024 Select #113 Premier Level","Raw","126.71","$5.27","$4.16","$9.43 (03/26/2026)","$4.94","$0.99","$35.00","25.14","1573","$7768.55"
"Drake Maye 2024 Select #24 Turbocharged","Raw","13.21","$0.37","$2.82","$3.19 (03/26/2026)","$3.57","$0.99","$23.00","89.02","1497","$5348.80"
"Caleb Williams 2024 Prizm #301 Base","Raw","30.15","$1.36","$4.52","$5.89 (03/26/2026)","$5.25","$0.99","$24.99","84.50","1452","$7627.30"
"Drake Maye 2024 Select #3 Select Certified Rookies","Raw","4.29","$0.13","$3.00","$3.13 (03/26/2026)","$4.20","$0.99","$24.00","57.41","1445","$6062.43"
"Drake Maye 2024 Select #20 Select Numbers","Raw","-23.79","-$0.59","$2.48","$1.89 (03/26/2026)","$3.35","$0.99","$22.11","76.43","1422","$4769.52"
"Jaxson Dart 2025 Prizm #332 Base","Raw","-71.68","-$12.90","$18.00","$5.10 (03/26/2026)","$7.49","$0.99","$26.00","0.00","1323","$9911.76"
"Drake Maye 2024 Topps Chrome #203 Base","Raw","-13.49","-$0.58","$4.33","$3.75 (03/26/2026)","$6.79","$0.99","$24.99","19.74","1298","$8811.78"
"Caleb Williams 2024 Optic #201 Base","Raw","-42.89","-$1.25","$2.91","$1.66 (03/26/2026)","$3.62","$0.99","$22.00","56.44","1203","$4351.79"
"Caleb Williams 2024 Donruss #327 Base","Raw","-28.45","-$0.59","$2.08","$1.49 (03/26/2026)","$2.82","$0.99","$24.99","142.86","1088","$3063.98"
"Jaxson Dart 2025 Optic #273 Base","Raw","-58.20","-$3.69","$6.33","$2.65 (03/26/2026)","$4.14","$0.99","$240.00","0.00","1075","$4449.49"
"Sam Darnold 2018 Donruss #301 Base","Raw","8.59","$0.39","$4.60","$5.00 (03/25/2026)","$8.74","$0.99","$39.99","428.79","1047","$9153.32"
"Drake Maye 2024 Prizm #2 Prizmatic","Raw","-16.09","-$0.88","$5.47","$4.59 (03/26/2026)","$6.86","$0.99","$24.63","29.78","1011","$6940.13"
"Drake Maye 2024 Prizm #22 Fireworks","Raw","-46.01","-$1.93","$4.19","$2.26 (03/26/2026)","$5.05","$0.99","$24.50","39.60","966","$4877.31"
"Drake Maye 2024 Select #5 Select Future","Raw","17.72","$0.38","$2.12","$2.49 (03/26/2026)","$3.18","$0.99","$24.99","60.66","882","$2804.47"
"Drake Maye 2024 Optic #229 Purple Shock","Raw","7.99","$2.18","$27.31","$29.49 (03/26/2026)","$34.78","$10.00","$70.00","-12.80","879","$30569.12"
"Bo Nix 2024 Prizm #309 Base","Raw","-7.82","-$0.29","$3.72","$3.43 (03/26/2026)","$3.89","$0.99","$24.00","5.28","878","$3411.51"
"Caleb Williams 2024 Select #25 Concourse","Raw","42.95","$0.70","$1.62","$2.32 (03/26/2026)","$2.08","$0.74","$22.50","133.42","866","$1802.47"
"Drake Maye 2024 Prizm #4 Emergent","Raw","25.16","$0.50","$2.00","$2.50 (03/26/2026)","$3.13","$0.99","$22.26","63.20","785","$2460.46"
