Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Cooper Flagg 2025 Topps Chrome #251 Base","Raw","-23.18","-$6.04","$26.04","$20.00 (03/31/2026)","$24.50","$1.99","$42.99","-47.29","1938","$47478.82"
"Kon Knueppel 2025 Topps Chrome #254 Base","Raw","18.24","$1.91","$10.45","$12.36 (03/30/2026)","$11.96","$0.99","$24.99","-21.88","1539","$18404.23"
"Kon Knueppel 2025 Topps Chrome #254 X-Fractor","Raw","9.65","$11.91","$123.42","$135.33 (03/30/2026)","$141.64","$43.99","$203.50","-39.98","617","$87394.30"
"Kon Knueppel 2025 Topps Chrome #254 Refractor","Raw","10.62","$11.40","$107.35","$118.75 (03/30/2026)","$125.91","$29.99","$202.50","-10.91","547","$68870.97"
"Cooper Flagg 2025 Topps Chrome #SY-11 Serenity","Raw","14.72","$1.87","$12.73","$14.61 (03/30/2026)","$13.65","$0.99","$28.99","-36.47","493","$6730.58"
"Cooper Flagg 2025 Topps Chrome #BD-21 Ball of Duty","Raw","21.22","$2.33","$11.00","$13.33 (03/30/2026)","$11.37","$0.99","$22.50","-35.36","488","$5547.11"
"Kon Knueppel 2025 Topps Chrome #BD-23 Ball of Duty","Raw","56.65","$2.48","$4.38","$6.87 (03/30/2026)","$5.49","$0.99","$24.95","19.02","488","$2679.25"
"Kon Knueppel 2025 Topps Chrome #GT-19 Go Time","Raw","12.64","$0.52","$4.10","$4.61 (03/30/2026)","$4.89","$0.99","$24.95","21.43","476","$2329.77"
"Cooper Flagg 2025 Topps Chrome #GT-16 Go Time","Raw","-6.87","-$0.67","$9.81","$9.14 (03/30/2026)","$10.34","$1.00","$22.50","-33.10","469","$4851.70"
"VJ Edgecombe 2025 Topps Chrome #253 Base","Raw","-40.95","-$1.18","$2.89","$1.71 (03/30/2026)","$2.63","$0.99","$23.26","-18.99","448","$1176.61"
"Cooper Flagg 2025 Topps Chrome #251 Refractor","Raw","-3.50","-$8.82","$252.28","$243.46 (03/30/2026)","$242.91","$52.00","$375.00","-34.03","444","$107850.12"
"Kon Knueppel 2025 Topps Chrome #AC-14 Activators","Raw","36.91","$1.57","$4.24","$5.81 (03/30/2026)","$4.71","$0.99","$19.66","20.38","443","$2085.65"
"Cooper Flagg 2025 Topps Chrome #AC-11 Activators","Raw","11.00","$0.99","$9.01","$10.01 (03/30/2026)","$8.63","$1.00","$26.00","-36.77","442","$3813.36"
"VJ Edgecombe 2025 Topps Chrome #253 X-Fractor","Raw","21.82","$7.90","$36.24","$44.14 (03/30/2026)","$36.22","$16.50","$55.00","-43.67","414","$14994.79"
"Cooper Flagg 2025 Topps Chrome #251 X-Fractor","Raw","-5.12","-$15.92","$310.74","$294.82 (03/30/2026)","$290.70","$180.14","$450.00","-61.23","409","$118895.20"
"Dylan Harper 2025 Topps Chrome #252 Base","Raw","89.51","$1.59","$1.78","$3.37 (03/30/2026)","$2.37","$0.99","$24.00","9.19","392","$927.47"
"Bam Adebayo 2017 Donruss #187 Base","Raw","424.82","$8.90","$2.09","$10.99 (03/30/2026)","$5.18","$0.99","$60.00","2684.62","362","$1876.31"
"Dylan Harper 2025 Topps Chrome #252 Refractor","Raw","88.19","$12.34","$14.00","$26.34 (03/30/2026)","$20.49","$0.99","$49.99","-2.45","358","$7336.92"
"Victor Wembanyama 2023 Prizm #136 Base","Raw","47.70","$12.65","$26.52","$39.17 (03/30/2026)","$35.88","$15.50","$65.00","41.60","354","$12701.73"
"Dylan Harper 2025 Topps Chrome #252 X-Fractor","Raw","63.59","$11.68","$18.36","$30.04 (03/30/2026)","$24.01","$9.16","$45.00","-46.60","346","$8308.65"
"Victor Wembanyama 2025 Topps Chrome #221 Refractor","Raw","80.24","$7.55","$9.41","$16.96 (03/30/2026)","$11.00","$1.00","$24.99","-1.78","332","$3651.37"
"Ace Bailey 2025 Topps Chrome #255 Refractor","Raw","63.82","$4.73","$7.42","$12.15 (03/30/2026)","$10.56","$0.99","$25.00","11.03","322","$3399.75"
"Victor Wembanyama 2025 Topps Chrome #221 X-Fractor","Raw","18.84","$3.86","$20.48","$24.33 (03/30/2026)","$22.63","$0.99","$45.00","-56.65","287","$6496.21"
"VJ Edgecombe 2025 Topps Chrome #253 Refractor","Raw","8.35","$2.30","$27.48","$29.78 (03/30/2026)","$24.62","$0.99","$50.00","-20.06","279","$6869.50"
"Ace Bailey 2025 Topps Chrome #255 X-Fractor","Raw","171.51","$9.10","$5.31","$14.41 (03/30/2026)","$12.00","$2.00","$20.50","-45.63","274","$3288.03"
