Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Victor Wembanyama 2023 Prizm #136 Base","Raw","17.81","$4.77","$26.78","$31.55 (02/23/2026)","$29.72","$15.00","$57.76","-4.74","261","$7755.76"
"Victor Wembanyama 2023 Prizm #136 Base","PSA 10","20.74","$27.44","$132.30","$159.75 (02/23/2026)","$146.71","$90.00","$195.00","11.30","256","$37558.52"
"Victor Wembanyama 2023 Optic #225 Base","Raw","61.68","$3.68","$5.96","$9.64 (02/23/2026)","$8.39","$0.99","$22.00","5.94","214","$1796.45"
"Victor Wembanyama 2023 Select #87 Concourse Blue Retail","Raw","2.28","$0.16","$6.94","$7.10 (02/23/2026)","$7.09","$0.99","$22.99","-7.11","209","$1482.38"
"Anthony Edwards 2020 Prizm #258 Base","Raw","68.25","$5.12","$7.51","$12.63 (02/23/2026)","$9.85","$1.66","$20.00","6.35","201","$1979.49"
"Cade Cunningham 2021 Prizm #282 Base","Raw","425.24","$5.32","$1.25","$6.57 (02/23/2026)","$5.00","$0.99","$24.99","10.44","201","$1005.81"
"LeBron James 2020 Prizm #1 Base","Raw","-16.68","-$1.17","$7.02","$5.85 (02/23/2026)","$7.17","$0.99","$24.74","19.33","179","$1283.92"
"Stephon Castle 2024 Prizm #234 Base","Raw","-36.46","-$1.05","$2.88","$1.83 (02/23/2026)","$2.43","$0.99","$22.00","6.20","137","$332.59"
"Victor Wembanyama 2023 Mosaic #238 Base","Raw","24.80","$0.97","$3.92","$4.90 (02/23/2026)","$4.44","$0.99","$24.99","33.33","136","$604.36"
"Victor Wembanyama 2023 Select #87 Concourse Blue Retail","PSA 10","14.95","$8.65","$57.85","$66.50 (02/23/2026)","$61.52","$28.00","$102.50","-16.98","132","$8120.79"
"Victor Wembanyama 2023 Mosaic #282 City Edition","Raw","-46.13","-$2.46","$5.33","$2.87 (02/23/2026)","$3.75","$0.99","$22.98","12.17","129","$483.96"
"Anthony Edwards 2020 Optic #151 Base","Raw","-28.19","-$1.57","$5.56","$3.99 (02/23/2026)","$5.08","$0.99","$21.50","19.81","127","$645.79"
"Victor Wembanyama 2023 Mosaic #257 NBA Debut","Raw","-31.56","-$1.63","$5.16","$3.53 (02/23/2026)","$4.09","$0.99","$16.00","-3.91","123","$502.62"
"Cade Cunningham 2021 Optic #161 Base","Raw","8.69","$0.24","$2.75","$2.99 (02/23/2026)","$2.93","$0.99","$18.00","27.66","120","$351.22"
"Victor Wembanyama 2023 Prizm #136 Base","PSA 9","9.59","$3.94","$41.06","$45.00 (02/24/2026)","$39.99","$20.50","$57.90","18.18","117","$4678.45"
"Stephon Castle 2024 Prizm #234 Silver","Raw","-13.14","-$4.39","$33.38","$28.99 (02/23/2026)","$35.54","$18.70","$65.00","-16.06","115","$4086.71"
"Shai Gilgeous-Alexander 2018 Prizm #184 Base","Raw","-39.87","-$12.36","$31.00","$18.64 (02/23/2026)","$24.91","$9.50","$45.00","2.97","104","$2590.33"
"LeBron James 2024 Prizm #130 Base","Raw","-86.14","-$10.34","$12.00","$1.66 (02/23/2026)","$3.44","$0.99","$21.00","4.08","102","$350.57"
"Victor Wembanyama 2023 Optic #6 My House","Raw","-49.35","-$4.94","$10.00","$5.06 (02/23/2026)","$6.26","$0.99","$20.50","59.68","99","$619.56"
"Stephon Castle 2024 Optic #254 Base","Raw","-45.82","-$1.37","$2.99","$1.62 (02/23/2026)","$1.70","$0.90","$4.95","39.71","95","$161.64"
"Luka Doncic 2018 Prizm #280 Base","PSA 10","11.53","$22.29","$193.21","$215.50 (02/23/2026)","$205.55","$155.00","$300.00","29.17","93","$19115.78"
"Victor Wembanyama 2023 Prizm #3 Instant Impact","Raw","-66.67","-$8.00","$12.00","$4.00 (02/23/2026)","$6.35","$0.99","$23.50","45.31","93","$590.41"
"Victor Wembanyama 2023 Prizm #1 Deep Space","Raw","-18.72","-$2.19","$11.69","$9.50 (02/23/2026)","$6.43","$0.99","$24.00","22.54","87","$559.37"
"LeBron James 2024 Prizm #130 Silver","Raw","-7.48","-$1.49","$19.99","$18.50 (02/23/2026)","$22.28","$1.25","$47.91","-31.30","79","$1760.10"
"Victor Wembanyama 2023 Prizm #136 Silver","PSA 10","7.39","$107.50","$1455.00","$1562.50 (02/23/2026)","$1485.27","$1205.00","$1952.00","2.60","79","$117336.72"
"Stephon Castle 2024 Optic #254 Holo","Raw","318.59","$13.54","$4.25","$17.79 (02/23/2026)","$11.71","$1.00","$23.00","-26.67","77","$902.05"
"Anthony Edwards 2020 Prizm #258 Base","PSA 10","30.83","$30.83","$100.00","$130.83 (02/23/2026)","$98.37","$69.00","$142.50","41.51","75","$7377.60"
"Victor Wembanyama 2023 Optic #6 Splash!","Raw","30.43","$1.40","$4.60","$6.00 (02/23/2026)","$6.10","$0.99","$18.30","8.96","73","$444.99"
"Victor Wembanyama 2023 Optic #2 White Hot Rookies","Raw","421.51","$5.44","$1.29","$6.73 (02/23/2026)","$5.49","$0.99","$20.50","38.46","72","$395.04"
"Kobe Bryant 2019 Prizm #8 Base","Raw","3.52","$0.24","$6.75","$6.99 (02/23/2026)","$7.64","$0.99","$24.99","50.00","72","$549.81"
"Anthony Edwards 2020 Mosaic #201 Base","Raw","-38.58","-$1.46","$3.79","$2.33 (02/23/2026)","$3.28","$0.99","$18.99","22.41","71","$232.80"
"LeBron James 2024 Prizm #130 Pink Ice","Raw","-37.66","-$6.36","$16.88","$10.53 (02/22/2026)","$13.00","$2.25","$23.05","-1.47","67","$871.06"
"Cade Cunningham 2021 Prizm #282 Silver","Raw","88.13","$49.89","$56.61","$106.50 (02/22/2026)","$64.87","$19.99","$143.00","16.67","63","$4087.01"
"Victor Wembanyama 2024 Prizm #172 Silver","Raw","88.99","$4.00","$4.50","$8.50 (02/23/2026)","$5.81","$0.99","$20.00","18.87","63","$365.76"
"Shai Gilgeous-Alexander 2018 Prizm #15 Freshman Phenoms","Raw","19.90","$1.00","$5.00","$6.00 (02/23/2026)","$6.41","$1.00","$12.26","43.18","63","$403.97"
"Kobe Bryant 2018 Prizm #15 Base","Raw","7.48","$0.63","$8.36","$8.99 (02/23/2026)","$8.01","$2.83","$26.00","3.51","59","$472.37"
"Shai Gilgeous-Alexander 2018 Prizm #184 Base","PSA 9","3.12","$1.09","$34.91","$36.00 (02/23/2026)","$40.75","$27.60","$65.00","3.51","59","$2403.96"
"Victor Wembanyama 2023 Select #87 Concourse Blue Prizm","Raw","-50.87","-$6.74","$13.25","$6.51 (02/23/2026)","$11.76","$1.25","$24.99","-11.94","59","$693.99"
"Victor Wembanyama 2023 Prizm #2 Global Reach","Raw","4.01","$0.13","$3.37","$3.50 (02/23/2026)","$4.70","$2.00","$24.99","1.75","58","$272.44"
"Victor Wembanyama 2023 Prizm #12 Emergent","Raw","164.22","$3.70","$2.25","$5.95 (02/23/2026)","$4.12","$0.99","$20.00","11.54","58","$238.79"
"Stephon Castle 2024 Optic #254 Hyper Pink","Raw","96.08","$4.90","$5.10","$10.00 (02/22/2026)","$6.61","$2.00","$20.00","-14.71","58","$383.34"
"Victor Wembanyama 2023 Select #87 Concourse Blue Prizm","PSA 10","-11.25","-$9.00","$80.00","$71.00 (02/23/2026)","$80.93","$49.99","$133.26","23.40","58","$4693.70"
"Victor Wembanyama 2024 Prizm #7 Dominance - Silver","Raw","19.82","$0.48","$2.40","$2.87 (02/23/2026)","$2.65","$0.99","$10.50","39.02","57","$150.77"
"Anthony Edwards 2020 Select #61 Concourse Blue Retail","Raw","-53.50","-$2.67","$5.00","$2.33 (02/23/2026)","$3.55","$0.99","$11.50","-8.20","56","$198.77"
"Stephon Castle 2024 Optic #16 My House - Purple","Raw","20.58","$0.43","$2.07","$2.50 (02/23/2026)","$2.46","$0.99","$6.50","-1.82","54","$132.87"
"Anthony Edwards 2020 Mosaic #261 NBA Debut","Raw","-83.33","-$7.50","$9.00","$1.50 (02/23/2026)","$3.39","$0.73","$20.25","8.00","54","$182.98"
"Shai Gilgeous-Alexander 2018 Prizm #11 Emergent","Raw","-57.35","-$4.88","$8.50","$3.63 (02/23/2026)","$5.21","$0.99","$10.00","6.12","52","$270.86"
"Victor Wembanyama 2024 Optic #19 My House - Purple","Raw","133.33","$1.32","$0.99","$2.31 (02/23/2026)","$3.03","$0.99","$8.50","-30.14","51","$154.38"
"LeBron James 2024 Optic #3 My House - Holo","Raw","-29.05","-$0.72","$2.47","$1.75 (02/23/2026)","$2.90","$0.99","$13.92","72.41","50","$144.90"
"Anthony Edwards 2020 Prizm #258 Base","PSA 9","5.29","$1.26","$23.74","$25.00 (02/23/2026)","$25.65","$14.00","$41.77","32.43","49","$1256.71"
"LeBron James 2018 Prizm #6 Base","Raw","5.45","$0.09","$1.65","$1.74 (02/18/2026)","$2.04","$0.99","$6.01","206.25","49","$99.90"
"Victor Wembanyama 2024 Optic #19 My House - Holo","Raw","-32.32","-$1.70","$5.25","$3.55 (02/23/2026)","$4.23","$0.99","$10.50","-16.95","49","$207.20"
"Victor Wembanyama 2023 Optic #8 Express Lane","Raw","13.62","$0.53","$3.92","$4.45 (02/23/2026)","$4.68","$0.99","$21.00","-15.52","49","$229.32"
"Shai Gilgeous-Alexander 2018 Optic #162 Base","Raw","7.98","$1.99","$25.00","$26.99 (02/23/2026)","$24.45","$15.00","$40.99","-36.00","48","$1173.41"
"Anthony Edwards 2020 Mosaic #252 National Pride","Raw","67.74","$1.69","$2.49","$4.18 (02/23/2026)","$2.61","$0.99","$12.00","-4.00","48","$125.14"
"Anthony Edwards 2020 Prizm #258 Silver","PSA 9","36.42","$58.96","$161.88","$220.83 (02/23/2026)","$193.53","$144.00","$255.00","33.33","48","$9289.46"
"LeBron James 2024 Prizm #130 Green","Raw","66.67","$6.00","$9.00","$15.00 (02/22/2026)","$11.16","$2.25","$20.00","-20.69","46","$513.51"
"Victor Wembanyama 2024 Prizm #172 Pink Ice","Raw","-15.27","-$0.79","$5.16","$4.38 (02/22/2026)","$6.07","$1.75","$24.52","6.98","46","$279.09"
"Stephon Castle 2024 Optic #14 Splash! - Purple","Raw","34.36","$0.45","$1.30","$1.75 (02/23/2026)","$2.05","$0.99","$5.50","-17.86","46","$94.46"
"Victor Wembanyama 2023 Mosaic #3 Jam Masters","Raw","165.64","$6.16","$3.72","$9.88 (02/23/2026)","$4.90","$0.99","$15.50","25.00","45","$220.35"
"Luka Doncic 2018 Prizm #280 Base","Raw","36.88","$17.65","$47.85","$65.50 (02/21/2026)","$64.24","$28.91","$100.00","43.33","43","$2762.21"
