Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Zion Williamson 2019 Chronicles #271 XR","Raw","0.00","$0.00","$2.00","$2.00 (04/30/2026)","$2.00","$2.00","$2.00","0.00","1","$2.00"
"Cameron Johnson 2019 Optic #200 Blue Velocity","Raw","0.00","$0.00","$8.00","$8.00 (04/24/2026)","$8.00","$8.00","$8.00","0.00","1","$8.00"
"Coby White 2019 Crown Royale #4 Kaboom!","Raw","0.00","$0.00","$469.00","$469.00 (04/26/2026)","$469.00","$469.00","$469.00","0.00","1","$469.00"
"Luka Doncic 2018 Chronicles #681 Score","Raw","0.00","$0.00","$19.99","$19.99 (04/29/2026)","$19.99","$19.99","$19.99","0.00","1","$19.99"
"Jayson Tatum 2017 Optic #3 Rookie Kings - Holo","Raw","0.00","$0.00","$21.00","$21.00 (04/24/2026)","$21.00","$21.00","$21.00","0.00","1","$21.00"
"Devin Booker 2015 Donruss #27 The Rookies","Raw","0.00","$0.00","$8.00","$8.00 (04/30/2026)","$8.00","$8.00","$8.00","-66.67","1","$8.00"
"Luka Doncic 2020 Optic #86 Pink Velocity","Raw","0.00","$0.00","$17.50","$17.50 (04/27/2026)","$17.50","$17.50","$17.50","0.00","1","$17.50"
"Tyrese Maxey 2020 Optic #171 Purple Shock","Raw","0.00","$0.00","$17.50","$17.50 (04/26/2026)","$17.50","$17.50","$17.50","-75.00","1","$17.50"
"Xavier Tillman 2020 Optic #185 Choice","Raw","0.00","$0.00","$0.99","$0.99 (04/30/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"LeBron James 2014 Donruss #170 Base","Raw","0.00","$0.00","$1.99","$1.99 (04/28/2026)","$1.99","$1.99","$1.99","0.00","1","$1.99"
"DeMarcus Cousins 2010 Prestige #215 Base","Raw","0.00","$0.00","$2.99","$2.99 (04/29/2026)","$2.99","$2.99","$2.99","0.00","1","$2.99"
"Bones Hyland 2021 Optic #194 Holo","Raw","0.00","$0.00","$1.25","$1.25 (04/29/2026)","$1.25","$1.25","$1.25","0.00","1","$1.25"
"Zion Williamson 2019 Contenders #1 Lottery Ticket","Raw","0.00","$0.00","$2.25","$2.25 (04/25/2026)","$2.25","$2.25","$2.25","0.00","1","$2.25"
"Zion Williamson 2020 Crown Royale #19 Kaboom!","Raw","0.00","$0.00","$388.00","$388.00 (04/29/2026)","$388.00","$388.00","$388.00","0.00","1","$388.00"
"Jayson Tatum 2017 Chronicles #137 Base","Raw","0.00","$0.00","$13.43","$13.43 (04/29/2026)","$13.43","$13.43","$13.43","0.00","1","$13.43"
