Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Victor Wembanyama 2023 Prizm #136 Base","Raw","36.94","$8.51","$23.04","$31.55 (02/23/2026)","$26.44","$5.97","$57.76","10.44","783","$20700.21"
"Victor Wembanyama 2023 Prizm #136 Base","PSA 10","22.89","$29.76","$129.99","$159.75 (02/23/2026)","$140.31","$72.48","$366.00","-20.38","719","$100881.20"
"Victor Wembanyama 2023 Select #87 Concourse Blue Retail","Raw","15.45","$0.95","$6.15","$7.10 (02/23/2026)","$6.48","$0.99","$23.97","12.29","603","$3907.83"
"Victor Wembanyama 2023 Optic #225 Base","Raw","94.88","$4.69","$4.95","$9.64 (02/23/2026)","$8.00","$0.99","$33.00","22.45","600","$4797.41"
"Anthony Edwards 2020 Prizm #258 Base","Raw","36.62","$3.39","$9.25","$12.63 (02/23/2026)","$9.31","$0.99","$23.50","32.79","575","$5354.53"
"Cade Cunningham 2021 Prizm #282 Base","Raw","100.78","$3.30","$3.27","$6.57 (02/23/2026)","$4.44","$0.99","$24.99","134.68","521","$2311.33"
"LeBron James 2020 Prizm #1 Base","Raw","-47.06","-$5.20","$11.05","$5.85 (02/23/2026)","$6.77","$0.99","$24.74","32.57","464","$3143.01"
"Victor Wembanyama 2023 Select #87 Concourse Blue Retail","PSA 10","43.01","$20.00","$46.50","$66.50 (02/23/2026)","$58.38","$28.00","$274.50","-10.16","442","$25805.38"
"Stephon Castle 2024 Prizm #234 Silver","Raw","0.91","$0.26","$28.73","$28.99 (02/23/2026)","$36.10","$15.00","$69.95","-18.05","395","$14257.89"
"Victor Wembanyama 2023 Mosaic #257 NBA Debut","Raw","-14.34","-$0.59","$4.12","$3.53 (02/23/2026)","$3.86","$0.99","$22.52","48.45","383","$1478.29"
"Victor Wembanyama 2023 Mosaic #282 City Edition","Raw","-66.29","-$5.64","$8.51","$2.87 (02/23/2026)","$3.81","$0.99","$23.50","59.21","363","$1384.28"
"Victor Wembanyama 2023 Mosaic #238 Base","Raw","-9.94","-$0.54","$5.44","$4.90 (02/23/2026)","$4.31","$0.99","$24.99","44.67","353","$1520.11"
"Stephon Castle 2024 Prizm #234 Base","Raw","-8.04","-$0.16","$1.99","$1.83 (02/23/2026)","$2.34","$0.99","$23.29","35.41","348","$814.06"
"Victor Wembanyama 2023 Prizm #136 Base","PSA 9","28.94","$10.10","$34.90","$45.00 (02/24/2026)","$37.01","$14.50","$87.22","-22.94","336","$12435.89"
"Anthony Edwards 2020 Optic #151 Base","Raw","-1.16","-$0.05","$4.04","$3.99 (02/23/2026)","$4.90","$0.99","$22.00","52.34","326","$1598.77"
"LeBron James 2024 Prizm #130 Silver","Raw","16.35","$2.60","$15.90","$18.50 (02/23/2026)","$18.77","$0.99","$47.91","-23.56","318","$5969.41"
"Shai Gilgeous-Alexander 2018 Prizm #184 Base","Raw","-30.44","-$8.16","$26.80","$18.64 (02/23/2026)","$27.09","$8.50","$50.00","55.39","317","$8588.97"
"Stephon Castle 2024 Optic #254 Holo","Raw","208.05","$12.01","$5.78","$17.79 (02/23/2026)","$11.07","$0.99","$23.00","-4.78","299","$3308.49"
"Cade Cunningham 2021 Optic #161 Base","Raw","33.63","$0.75","$2.24","$2.99 (02/23/2026)","$2.96","$0.71","$24.00","115.33","295","$872.21"
"LeBron James 2024 Prizm #130 Base","Raw","1.92","$0.03","$1.63","$1.66 (02/23/2026)","$3.08","$0.99","$21.00","13.18","292","$899.86"
"Victor Wembanyama 2023 Prizm #136 Silver","PSA 10","3.31","$50.00","$1512.50","$1562.50 (02/23/2026)","$1489.49","$999.99","$1952.00","-40.68","261","$388756.72"
"Luka Doncic 2018 Prizm #280 Base","PSA 10","-1.67","-$3.65","$219.15","$215.50 (02/23/2026)","$207.41","$153.50","$317.20","2.86","252","$52266.62"
"Victor Wembanyama 2023 Prizm #3 Instant Impact","Raw","-13.04","-$0.60","$4.60","$4.00 (02/23/2026)","$6.20","$0.99","$23.50","28.49","239","$1480.70"
"Stephon Castle 2024 Optic #254 Base","Raw","29.95","$0.37","$1.25","$1.62 (02/23/2026)","$1.97","$0.90","$19.99","15.76","235","$462.97"
"LeBron James 2024 Prizm #130 Pink Ice","Raw","42.63","$3.15","$7.38","$10.53 (02/22/2026)","$11.93","$2.25","$23.99","-38.36","233","$2779.70"
"Victor Wembanyama 2023 Prizm #1 Deep Space","Raw","18.90","$1.51","$7.99","$9.50 (02/23/2026)","$5.94","$0.99","$24.00","25.27","228","$1355.06"
"Stephon Castle 2024 Prizm #234 Pink Ice","Raw","-13.53","-$0.95","$7.00","$6.05 (02/23/2026)","$9.39","$0.99","$21.50","-39.66","213","$1999.61"
"Shai Gilgeous-Alexander 2018 Optic #162 Base","Raw","10.92","$2.66","$24.34","$26.99 (02/23/2026)","$24.53","$12.01","$51.00","84.68","205","$5029.50"
"Victor Wembanyama 2023 Optic #6 My House","Raw","275.19","$3.71","$1.35","$5.06 (02/23/2026)","$5.70","$0.99","$22.51","60.32","202","$1151.28"
"Victor Wembanyama 2024 Optic #19 My House - Purple","Raw","-1.07","-$0.02","$2.33","$2.31 (02/23/2026)","$3.11","$0.99","$13.25","0.50","200","$621.13"
"Shai Gilgeous-Alexander 2018 Prizm #184 Base","PSA 9","-7.12","-$2.76","$38.76","$36.00 (02/23/2026)","$44.65","$27.60","$94.33","63.33","196","$8750.59"
"Victor Wembanyama 2023 Optic #6 Splash!","Raw","166.67","$3.75","$2.25","$6.00 (02/23/2026)","$5.46","$0.99","$19.99","36.36","195","$1064.85"
"Victor Wembanyama 2023 Select #87 Concourse Blue Prizm","Raw","-30.32","-$2.83","$9.34","$6.51 (02/23/2026)","$10.91","$0.99","$24.99","25.16","194","$2116.41"
"Stephon Castle 2024 Optic #254 Hyper Pink","Raw","75.52","$4.30","$5.70","$10.00 (02/22/2026)","$6.44","$1.30","$20.76","54.03","191","$1229.52"
"Victor Wembanyama 2023 Prizm #12 Emergent","Raw","11.47","$0.61","$5.33","$5.95 (02/23/2026)","$4.14","$0.99","$23.54","14.37","183","$757.55"
"Anthony Edwards 2020 Mosaic #201 Base","Raw","-22.44","-$0.67","$3.00","$2.33 (02/23/2026)","$3.32","$0.99","$18.99","40.77","183","$607.08"
"Victor Wembanyama 2024 Prizm #172 Silver","Raw","299.81","$6.37","$2.13","$8.50 (02/23/2026)","$4.63","$0.99","$20.00","-39.32","179","$829.01"
"Victor Wembanyama 2023 Optic #2 White Hot Rookies","Raw","-17.76","-$1.45","$8.18","$6.73 (02/23/2026)","$5.66","$0.99","$20.85","8.54","178","$1007.18"
"Kobe Bryant 2019 Prizm #8 Base","Raw","64.66","$2.75","$4.25","$6.99 (02/23/2026)","$7.62","$0.99","$24.99","43.44","175","$1333.89"
"Cade Cunningham 2021 Prizm #282 Silver","Raw","124.44","$59.05","$47.45","$106.50 (02/22/2026)","$60.51","$19.44","$143.00","85.11","174","$10528.77"
"Anthony Edwards 2020 Prizm #258 Base","PSA 10","55.75","$46.83","$84.00","$130.83 (02/23/2026)","$98.98","$69.00","$158.60","17.61","167","$16529.66"
"Victor Wembanyama 2023 Prizm #2 Global Reach","Raw","-12.28","-$0.49","$3.99","$3.50 (02/23/2026)","$4.13","$0.99","$24.99","7.19","164","$677.64"
"LeBron James 2024 Optic #3 My House - Purple","Raw","-40.48","-$0.67","$1.66","$0.99 (02/22/2026)","$2.86","$0.99","$13.61","-6.86","163","$466.64"
"Victor Wembanyama 2024 Prizm #172 Pink Ice","Raw","54.94","$1.55","$2.82","$4.38 (02/22/2026)","$5.20","$0.99","$25.00","-47.68","158","$821.62"
"Shai Gilgeous-Alexander 2018 Prizm #15 Freshman Phenoms","Raw","-14.28","-$1.00","$6.99","$6.00 (02/23/2026)","$6.92","$0.99","$21.99","109.33","157","$1086.99"
"Stephon Castle 2024 Optic #16 My House - Purple","Raw","-30.94","-$1.12","$3.62","$2.50 (02/23/2026)","$2.56","$0.99","$18.50","-8.72","157","$401.38"
"LeBron James 2024 Prizm #130 Green","Raw","36.43","$4.00","$11.00","$15.00 (02/22/2026)","$10.22","$1.25","$20.00","-3.13","155","$1583.84"
"Anthony Edwards 2020 Select #61 Concourse Blue Retail","Raw","-28.46","-$0.92","$3.25","$2.33 (02/23/2026)","$3.85","$0.99","$19.99","48.04","151","$581.82"
"Kobe Bryant 2018 Prizm #15 Base","Raw","38.31","$2.49","$6.50","$8.99 (02/23/2026)","$6.89","$1.25","$26.00","72.09","148","$1019.83"
"Stephon Castle 2024 Optic #14 Splash! - Purple","Raw","76.43","$0.76","$0.99","$1.75 (02/23/2026)","$2.19","$0.99","$10.00","-3.92","147","$321.61"
"Victor Wembanyama 2024 Optic #19 My House - Holo","Raw","1.43","$0.05","$3.50","$3.55 (02/23/2026)","$3.98","$0.99","$25.00","-5.88","144","$572.48"
"Victor Wembanyama 2023 Optic #8 Express Lane","Raw","349.49","$3.46","$0.99","$4.45 (02/23/2026)","$4.20","$0.99","$21.00","5.11","144","$604.26"
"Victor Wembanyama 2023 Prizm #3 Instant Impact","PSA 10","59.49","$26.11","$43.89","$70.00 (02/23/2026)","$50.99","$29.67","$79.56","22.03","144","$7342.10"
"Anthony Edwards 2020 Prizm #258 Base","PSA 9","0.04","$0.01","$24.99","$25.00 (02/23/2026)","$26.12","$12.94","$41.77","0.71","142","$3708.54"
"Luka Doncic 2018 Prizm #280 Base","PSA 9","-17.96","-$15.33","$85.33","$70.00 (02/23/2026)","$83.05","$43.29","$132.00","20.51","141","$11709.60"
"Victor Wembanyama 2023 Select #87 Concourse Blue Prizm","PSA 10","52.70","$24.50","$46.50","$71.00 (02/23/2026)","$75.23","$29.67","$133.26","-7.84","141","$10607.25"
"Victor Wembanyama 2023 Optic #225 Base","PSA 10","-4.01","-$3.05","$76.00","$72.95 (02/23/2026)","$74.14","$45.60","$116.00","-30.30","138","$10231.56"
"Shai Gilgeous-Alexander 2018 Prizm #184 Base","PSA 10","1.63","$2.96","$182.04","$185.00 (02/19/2026)","$182.86","$135.00","$300.00","33.98","138","$25234.10"
"Shai Gilgeous-Alexander 2018 Prizm #11 Emergent","Raw","-54.69","-$4.38","$8.00","$3.63 (02/23/2026)","$5.94","$0.99","$15.51","61.90","136","$807.71"
"Victor Wembanyama 2024 Prizm #7 Dominance - Silver","Raw","-41.45","-$2.03","$4.90","$2.87 (02/23/2026)","$2.68","$0.99","$10.50","-24.44","136","$364.22"
"Anthony Edwards 2020 Mosaic #261 NBA Debut","Raw","-40.00","-$1.00","$2.50","$1.50 (02/23/2026)","$2.84","$0.73","$20.25","28.57","135","$383.42"
"Anthony Edwards 2020 Prizm #258 Silver","Raw","-7.71","-$13.50","$175.00","$161.50 (02/23/2026)","$159.57","$89.00","$235.00","40.86","131","$20903.15"
"Victor Wembanyama 2023 Select #121 Premier Level Blue Retail","Raw","749.50","$7.50","$1.00","$8.50 (02/23/2026)","$8.14","$0.99","$28.00","8.93","122","$993.21"
"Victor Wembanyama 2023 Prizm #136 Pink Ice","PSA 10","-6.71","-$29.50","$439.50","$410.00 (02/23/2026)","$415.88","$295.00","$660.00","-50.00","120","$49905.15"
"Victor Wembanyama 2024 Prizm #2 Deep Space - Silver","Raw","211.28","$2.71","$1.29","$4.00 (02/23/2026)","$2.37","$0.99","$10.50","-20.13","119","$282.25"
"Anthony Edwards 2020 Mosaic #252 National Pride","Raw","91.59","$2.00","$2.18","$4.18 (02/23/2026)","$2.63","$0.99","$20.25","35.63","118","$310.74"
"Stephon Castle 2024 Prizm #234 Ice","Raw","70.45","$7.75","$11.00","$18.75 (02/22/2026)","$14.13","$5.00","$26.55","20.41","118","$1667.90"
"Victor Wembanyama 2023 Select #121 Premier Level Blue Retail","PSA 10","6.00","$3.30","$55.03","$58.33 (02/22/2026)","$59.19","$38.88","$100.00","0.85","118","$6984.94"
"Victor Wembanyama 2023 Mosaic #3 Jam Masters","Raw","97.50","$4.88","$5.00","$9.88 (02/23/2026)","$5.17","$0.99","$18.00","15.69","118","$610.36"
"Victor Wembanyama 2023 Mosaic #8 Thunder Road - Green","Raw","113.13","$9.05","$8.00","$17.05 (02/23/2026)","$12.14","$0.99","$26.32","58.11","117","$1419.90"
"LeBron James 2020 Prizm #1 Silver","Raw","89.88","$44.94","$50.00","$94.94 (02/22/2026)","$68.13","$35.00","$123.88","78.46","116","$7903.64"
"Cade Cunningham 2021 Optic #161 Blue Velocity","Raw","49.27","$9.12","$18.50","$27.62 (02/22/2026)","$18.78","$3.51","$36.00","70.15","114","$2141.29"
"Victor Wembanyama 2023 Mosaic #8 Thunder Road","Raw","405.05","$4.01","$0.99","$5.00 (02/23/2026)","$4.69","$0.99","$19.30","26.97","113","$530.17"
"Victor Wembanyama 2023 Mosaic #12 Epic Performers - Green","Raw","90.48","$4.75","$5.25","$10.00 (02/23/2026)","$10.69","$3.25","$27.00","32.14","111","$1186.67"
"Victor Wembanyama 2024 Prizm #9 Global Reach - Silver","Raw","158.75","$3.68","$2.31","$5.99 (02/22/2026)","$2.82","$0.99","$15.00","-25.17","110","$310.48"
"LeBron James 2024 Optic #3 My House - Holo","Raw","-41.47","-$1.24","$2.99","$1.75 (02/23/2026)","$2.58","$0.99","$13.92","-21.17","108","$278.74"
"Anthony Edwards 2020 Prizm #258 Silver","PSA 9","29.91","$50.84","$169.99","$220.83 (02/23/2026)","$185.35","$138.73","$255.00","18.68","108","$20018.29"
"Stephon Castle 2024 Optic #6 White Hot Rookies","Raw","68.92","$1.02","$1.48","$2.50 (02/23/2026)","$1.80","$0.99","$20.49","0.96","105","$188.85"
